,FID,Id,lat,lon
400,400,0,33.05,113.05
401,401,0,33.05,113.15
402,402,0,33.05,113.25
403,403,0,33.05,113.35
404,404,0,33.05,113.45
405,405,0,33.05,113.55
406,406,0,33.05,113.65
407,407,0,33.05,113.75
408,408,0,33.05,113.85
409,409,0,33.05,113.95
410,410,0,33.05,114.05
411,411,0,33.05,114.15
412,412,0,33.05,114.25
413,413,0,33.05,114.35
414,414,0,33.05,114.45
415,415,0,33.05,114.55
416,416,0,33.05,114.65
417,417,0,33.05,114.75
418,418,0,33.05,114.85
419,419,0,33.15,111.15
420,420,0,33.15,111.25
421,421,0,33.15,111.35
422,422,0,33.15,111.45
423,423,0,33.15,111.55
424,424,0,33.15,111.65
425,425,0,33.15,111.75
426,426,0,33.15,111.85
427,427,0,33.15,111.95
428,428,0,33.15,112.05
429,429,0,33.15,112.15
430,430,0,33.15,112.25
431,431,0,33.15,112.35
432,432,0,33.15,112.45
433,433,0,33.15,112.55
434,434,0,33.15,112.65
435,435,0,33.15,112.75
436,436,0,33.15,112.85
437,437,0,33.15,112.95
438,438,0,33.15,113.05
439,439,0,33.15,113.15
440,440,0,33.15,113.25
441,441,0,33.15,113.35
442,442,0,33.15,113.45
443,443,0,33.15,113.55
444,444,0,33.15,113.65
445,445,0,33.15,113.75
446,446,0,33.15,113.85
447,447,0,33.15,113.95
448,448,0,33.15,114.05
449,449,0,33.15,114.15
450,450,0,33.15,114.25
451,451,0,33.15,114.35
452,452,0,33.15,114.45
453,453,0,33.15,114.55
454,454,0,33.15,114.65
455,455,0,33.15,114.75
456,456,0,33.15,114.85
457,457,0,33.15,115.05
458,458,0,33.15,115.15
459,459,0,33.15,115.25
460,460,0,33.25,111.05
461,461,0,33.25,111.15
462,462,0,33.25,111.25
463,463,0,33.25,111.35
464,464,0,33.25,111.45
465,465,0,33.25,111.55
466,466,0,33.25,111.65
467,467,0,33.25,111.75
468,468,0,33.25,111.85
469,469,0,33.25,111.95
470,470,0,33.25,112.05
471,471,0,33.25,112.15
472,472,0,33.25,112.25
473,473,0,33.25,112.35
474,474,0,33.25,112.45
475,475,0,33.25,112.55
476,476,0,33.25,112.65
477,477,0,33.25,112.75
478,478,0,33.25,112.85
479,479,0,33.25,112.95
480,480,0,33.25,113.05
481,481,0,33.25,113.15
482,482,0,33.25,113.25
483,483,0,33.25,113.35
484,484,0,33.25,113.45
485,485,0,33.25,113.55
486,486,0,33.25,113.65
487,487,0,33.25,113.75
488,488,0,33.25,113.85
489,489,0,33.25,113.95
490,490,0,33.25,114.05
491,491,0,33.25,114.15
492,492,0,33.25,114.25
493,493,0,33.25,114.35
494,494,0,33.25,114.45
495,495,0,33.25,114.55
496,496,0,33.25,114.65
497,497,0,33.25,114.75
498,498,0,33.25,114.85
499,499,0,33.25,114.95
500,500,0,33.25,115.05
501,501,0,33.25,115.15
502,502,0,33.25,115.25
503,503,0,33.35,111.05
504,504,0,33.35,111.15
505,505,0,33.35,111.25
506,506,0,33.35,111.35
507,507,0,33.35,111.45
508,508,0,33.35,111.55
509,509,0,33.35,111.65
510,510,0,33.35,111.75
511,511,0,33.35,111.85
512,512,0,33.35,111.95
513,513,0,33.35,112.05
514,514,0,33.35,112.15
515,515,0,33.35,112.25
516,516,0,33.35,112.35
517,517,0,33.35,112.45
518,518,0,33.35,112.55
519,519,0,33.35,112.65
520,520,0,33.35,112.75
521,521,0,33.35,112.85
522,522,0,33.35,112.95
523,523,0,33.35,113.05
524,524,0,33.35,113.15
525,525,0,33.35,113.25
526,526,0,33.35,113.35
527,527,0,33.35,113.45
528,528,0,33.35,113.55
529,529,0,33.35,113.65
530,530,0,33.35,113.75
531,531,0,33.35,113.85
532,532,0,33.35,113.95
533,533,0,33.35,114.05
534,534,0,33.35,114.15
535,535,0,33.35,114.25
536,536,0,33.35,114.35
537,537,0,33.35,114.45
538,538,0,33.35,114.55
539,539,0,33.35,114.65
540,540,0,33.35,114.75
541,541,0,33.35,114.85
542,542,0,33.35,114.95
543,543,0,33.35,115.05
544,544,0,33.35,115.15
545,545,0,33.35,115.25
546,546,0,33.45,111.05
547,547,0,33.45,111.15
548,548,0,33.45,111.25
549,549,0,33.45,111.35
550,550,0,33.45,111.45
551,551,0,33.45,111.55
552,552,0,33.45,111.65
553,553,0,33.45,111.75
554,554,0,33.45,111.85
555,555,0,33.45,111.95
556,556,0,33.45,112.05
557,557,0,33.45,112.15
558,558,0,33.45,112.25
559,559,0,33.45,112.35
560,560,0,33.45,112.45
561,561,0,33.45,112.55
562,562,0,33.45,112.65
563,563,0,33.45,112.75
564,564,0,33.45,112.85
565,565,0,33.45,112.95
566,566,0,33.45,113.05
567,567,0,33.45,113.15
568,568,0,33.45,113.25
569,569,0,33.45,113.35
